employment_matrix,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",education_needed,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"Total, all occupations",00-0000,"167,849.8","174,589.0","6,739.2",4.0,"48,060",—,3.8,3.0,2.7,3.1,3.3,3.6,2.5,3.5,3.2,2.6,1.9,2.2,3.5,2.7,1.7,3.2,3.3
  Chief executives,11-1011,313.9,331.1,17.2,5.5,"206,680",Bachelor's degree,4.2,3.7,3.5,4.1,3.9,3.7,1.7,4.0,4.5,3.3,1.5,1.3,4.6,4.1,1.8,4.0,4.2
  General and operations managers,11-1021,"3,630.1","3,840.5",210.4,5.8,"101,280",Bachelor's degree,4.1,3.5,3.1,3.6,3.6,3.6,1.7,3.7,4.0,3.0,1.7,1.7,4.1,3.6,1.7,3.5,3.8
  Legislators[2],11-1031,33.7,35.0,1.4,4.1,"47,290",Bachelor's degree,4.2,3.7,3.5,4.1,3.9,3.7,1.7,4.0,4.5,3.3,1.5,1.3,4.6,4.1,1.8,4.0,4.2
  Advertising and promotions managers,11-2011,22.2,21.7,-0.6,-2.6,"131,870",Bachelor's degree,4.0,3.6,3.5,3.5,3.5,3.5,1.6,3.5,3.2,3.0,1.3,1.3,3.8,3.1,1.4,3.9,3.7
  Marketing managers,11-2021,389.1,420.8,31.7,8.2,"157,620",Bachelor's degree,4.0,3.6,3.4,3.7,3.5,3.4,1.7,3.5,3.8,3.1,1.1,1.3,4.0,3.3,1.3,3.8,3.7
  Sales managers,11-2022,584.8,619.1,34.3,5.9,"135,160",Bachelor's degree,4.2,3.5,3.4,3.7,3.9,3.0,1.6,3.7,4.1,3.1,1.4,1.3,3.8,3.5,1.5,3.7,3.8
  Public relations managers[2],11-2032,78.4,83.8,5.4,6.9,"134,760",Bachelor's degree,4.0,3.4,3.3,3.5,3.7,3.7,1.4,3.6,3.5,2.1,1.1,1.2,3.8,3.0,1.2,4.1,4.0
  Fundraising managers[2],11-2033,38.2,40.5,2.3,5.9,"119,200",Bachelor's degree,3.9,3.6,3.2,3.5,3.7,3.3,1.6,3.9,3.5,3.0,1.3,1.2,3.7,3.2,1.1,3.9,3.9
  Administrative services managers,11-3012,256.8,272.8,16.0,6.2,"106,470",Bachelor's degree,4.0,3.6,2.9,3.5,3.4,3.6,2.0,3.6,3.7,2.7,1.8,1.8,3.6,3.6,1.4,3.5,3.8
  Facilities managers[2],11-3013,140.5,147.9,7.4,5.3,"102,340",Bachelor's degree,4.1,3.5,3.1,3.6,3.6,3.6,1.7,3.7,4.0,3.0,1.7,1.7,4.1,3.6,1.7,3.5,3.8
  Computer and information systems managers,11-3021,613.5,720.4,106.9,17.4,"169,510",Bachelor's degree,3.9,4.2,3.0,3.9,3.0,3.8,2.3,3.4,3.9,3.1,1.7,1.3,4.1,3.5,1.4,3.4,3.8
  Financial managers,11-3031,837.1,975.3,138.3,16.5,"156,100",Bachelor's degree,3.9,3.6,2.7,3.5,3.3,3.8,1.9,3.7,4.0,3.6,1.3,1.2,3.9,3.2,1.1,3.7,3.8
  Industrial production managers,11-3051,230.1,236.7,6.5,2.8,"116,970",Bachelor's degree,4.0,3.5,2.9,3.7,2.9,3.8,2.4,3.4,3.9,3.3,2.5,2.1,4.1,3.5,1.8,3.5,3.6
  Purchasing managers,11-3061,81.3,85.4,4.1,5.1,"136,380",Bachelor's degree,4.2,3.8,3.1,3.7,3.3,3.6,1.3,3.6,4.1,3.2,1.4,1.3,3.8,3.6,1.4,3.7,3.8
"  Transportation, storage, and distribution managers",11-3071,211.8,230.8,19.1,9.0,"99,200",High school diploma or equivalent,4.0,3.4,2.9,3.6,3.4,3.6,2.0,3.4,3.9,3.2,1.7,1.6,3.9,3.5,1.6,3.5,3.7
