employment_matrix,education_needed
"Total, all occupations",—
  Chief executives,Bachelor's degree
  General and operations managers,Bachelor's degree
  Legislators[2],Bachelor's degree
  Advertising and promotions managers,Bachelor's degree
  Marketing managers,Bachelor's degree
  Sales managers,Bachelor's degree
  Public relations managers[2],Bachelor's degree
  Fundraising managers[2],Bachelor's degree
  Administrative services managers,Bachelor's degree
  Facilities managers[2],Bachelor's degree
  Computer and information systems managers,Bachelor's degree
  Financial managers,Bachelor's degree
  Industrial production managers,Bachelor's degree
  Purchasing managers,Bachelor's degree
"  Transportation, storage, and distribution managers",High school diploma or equivalent
  Compensation and benefits managers,Bachelor's degree
  Human resources managers,Bachelor's degree
  Training and development managers,Bachelor's degree
"  Farmers, ranchers, and other agricultural managers",High school diploma or equivalent
  Construction managers,Bachelor's degree
"  Education and childcare administrators, preschool and daycare",Bachelor's degree
"  Education administrators, kindergarten through secondary",Master's degree
"  Education administrators, postsecondary",Master's degree
"  Education administrators, all other[2]",Bachelor's degree
  Architectural and engineering managers,Bachelor's degree
  Food service managers,High school diploma or equivalent
  Gambling managers,High school diploma or equivalent
"  Entertainment and recreation managers, except gambling[2]",Bachelor's degree
  Lodging managers,High school diploma or equivalent
  Medical and health services managers,Bachelor's degree
  Natural sciences managers,Bachelor's degree
  Postmasters and mail superintendents,High school diploma or equivalent
"  Property, real estate, and community association managers",High school diploma or equivalent
  Social and community service managers,Bachelor's degree
  Emergency management directors,Bachelor's degree
  Funeral home managers,Associate's degree
"  Personal service managers, all other[2]",High school diploma or equivalent
"  Managers, all other[2]",Bachelor's degree
"  Agents and business managers of artists, performers, and athletes",Bachelor's degree
  Buyers and purchasing agents,Bachelor's degree
"  Claims adjusters, examiners, and investigators",High school diploma or equivalent
"  Insurance appraisers, auto damage",Postsecondary nondegree award
  Compliance officers,Bachelor's degree
  Cost estimators,Bachelor's degree
  Human resources specialists,Bachelor's degree
  Farm labor contractors,No formal educational credential
  Labor relations specialists,Bachelor's degree
  Logisticians,Bachelor's degree
  Project management specialists[2],Bachelor's degree
  Management analysts,Bachelor's degree
"  Meeting, convention, and event planners",Bachelor's degree
  Fundraisers,Bachelor's degree
"  Compensation, benefits, and job analysis specialists",Bachelor's degree
  Training and development specialists,Bachelor's degree
  Market research analysts and marketing specialists,Bachelor's degree
"  Business operations specialists, all other[2]",Bachelor's degree
  Accountants and auditors,Bachelor's degree
  Property appraisers and assessors[2],Bachelor's degree
  Budget analysts,Bachelor's degree
  Credit analysts,Bachelor's degree
  Financial and investment analysts[2],Bachelor's degree
  Personal financial advisors,Bachelor's degree
  Insurance underwriters,Bachelor's degree
  Financial risk specialists[2],Bachelor's degree
  Financial examiners,Bachelor's degree
  Credit counselors,Bachelor's degree
  Loan officers,Bachelor's degree
"  Tax examiners and collectors, and revenue agents",Bachelor's degree
  Tax preparers,High school diploma or equivalent
"  Financial specialists, all other[2]",Bachelor's degree
  Computer systems analysts,Bachelor's degree
  Information security analysts,Bachelor's degree
  Computer and information research scientists,Master's degree
  Computer network support specialists,Associate's degree
  Computer user support specialists,"Some college, no degree"
  Computer network architects,Bachelor's degree
  Database administrators,Bachelor's degree
  Database architects,Bachelor's degree
  Network and computer systems administrators,Bachelor's degree
  Computer programmers,Bachelor's degree
  Software developers[2],Bachelor's degree
  Software quality assurance analysts and testers,Bachelor's degree
  Web developers,Bachelor's degree
  Web and digital interface designers[2],Bachelor's degree
"  Computer occupations, all other[2]",Bachelor's degree
  Actuaries,Bachelor's degree
  Mathematicians,Master's degree
  Operations research analysts,Bachelor's degree
  Statisticians,Master's degree
  Data scientists[2],Bachelor's degree
"  Mathematical science occupations, all other[2]",Bachelor's degree
"  Architects, except landscape and naval",Bachelor's degree
  Landscape architects,Bachelor's degree
  Cartographers and photogrammetrists,Bachelor's degree
  Surveyors,Bachelor's degree
  Aerospace engineers,Bachelor's degree
  Agricultural engineers,Bachelor's degree
  Bioengineers and biomedical engineers,Bachelor's degree
  Chemical engineers,Bachelor's degree
  Civil engineers,Bachelor's degree
  Computer hardware engineers,Bachelor's degree
  Electrical engineers,Bachelor's degree
"  Electronics engineers, except computer",Bachelor's degree
  Environmental engineers,Bachelor's degree
"  Health and safety engineers, except mining safety engineers and inspectors",Bachelor's degree
  Industrial engineers,Bachelor's degree
  Marine engineers and naval architects,Bachelor's degree
  Materials engineers,Bachelor's degree
  Mechanical engineers,Bachelor's degree
"  Mining and geological engineers, including mining safety engineers",Bachelor's degree
  Nuclear engineers,Bachelor's degree
  Petroleum engineers,Bachelor's degree
"  Engineers, all other[2]",Bachelor's degree
  Architectural and civil drafters,Associate's degree
  Electrical and electronics drafters,Associate's degree
  Mechanical drafters,Associate's degree
"  Drafters, all other[2]",Associate's degree
  Aerospace engineering and operations technologists and technicians,Associate's degree
  Civil engineering technologists and technicians,Associate's degree
  Electrical and electronic engineering technologists and technicians,Associate's degree
  Electro-mechanical and mechatronics technologists and technicians,Associate's degree
  Environmental engineering technologists and technicians,Associate's degree
  Industrial engineering technologists and technicians,Associate's degree
  Mechanical engineering technologists and technicians,Associate's degree
  Calibration technologists and technicians[2],Associate's degree
"  Engineering technologists and technicians, except drafters, all other[2]",Associate's degree
  Surveying and mapping technicians,High school diploma or equivalent
  Animal scientists,Bachelor's degree
  Food scientists and technologists,Bachelor's degree
  Soil and plant scientists,Bachelor's degree
  Biochemists and biophysicists,Doctoral or professional degree
  Microbiologists,Bachelor's degree
  Zoologists and wildlife biologists,Bachelor's degree
"  Biological scientists, all other[2]",Bachelor's degree
  Conservation scientists,Bachelor's degree
  Foresters,Bachelor's degree
  Epidemiologists,Master's degree
"  Medical scientists, except epidemiologists",Doctoral or professional degree
"  Life scientists, all other[2]",Bachelor's degree
  Astronomers,Doctoral or professional degree
  Physicists,Doctoral or professional degree
  Atmospheric and space scientists,Bachelor's degree
  Chemists,Bachelor's degree
  Materials scientists,Bachelor's degree
"  Environmental scientists and specialists, including health",Bachelor's degree
"  Geoscientists, except hydrologists and geographers",Bachelor's degree
  Hydrologists,Bachelor's degree
"  Physical scientists, all other[2]",Bachelor's degree
  Economists,Master's degree
  Survey researchers,Master's degree
  Industrial-organizational psychologists,Master's degree
  Clinical and counseling psychologists,Doctoral or professional degree
  School psychologists,Master's degree
"  Psychologists, all other[2]",Master's degree
  Sociologists,Master's degree
